hours_studied,attendance,homework_completion,previous_scores,sleep_duration,passed
13.35,89.73,46.17,76.29,7.25,0
14.82,92.4,71.45,48.55,8.56,1
7.67,77.0,82.33,90.62,6.99,0
33.34,62.48,35.94,72.64,8.82,1
14.21,89.19,17.76,59.02,5.75,0
22.54,67.8,16.25,69.05,4.26,0
23.56,95.93,57.4,53.11,4.92,1
21.34,63.34,6.24,57.88,6.27,0
1.1,97.01,99.38,51.51,9.29,0
39.55,71.4,44.66,67.62,9.27,1
36.31,87.66,22.87,61.65,6.08,1
9.1,60.44,51.79,60.84,6.55,0
12.41,81.24,24.87,93.47,7.29,1
21.28,79.11,61.71,57.8,7.99,1
36.17,71.02,82.13,52.02,6.63,1
39.36,86.77,42.28,49.22,8.23,1
11.04,90.9,73.72,40.44,7.13,0
23.01,86.36,59.22,59.13,5.02,1
32.47,90.65,16.93,78.31,9.06,1
16.38,87.26,21.42,78.9,6.43,1
29.51,57.48,54.47,99.46,4.6,1
7.28,88.62,84.91,95.0,5.38,1
24.43,59.53,44.43,48.55,6.79,0
34.77,54.96,62.58,91.05,7.27,1
39.36,95.08,75.89,45.43,9.41,1
4.1,79.91,79.84,65.9,5.99,0
17.71,58.82,64.76,70.14,9.27,0
8.98,81.81,78.18,96.73,4.82,0
18.57,66.64,60.51,74.13,5.17,0
22.36,57.08,92.45,88.26,5.1,1
4.64,89.97,34.22,98.3,7.53,1
12.58,55.5,83.63,89.44,7.32,0
37.18,98.12,64.79,53.27,5.87,1
23.19,88.6,57.32,52.8,8.74,1
18.84,85.61,71.81,59.65,7.47,1
30.39,61.96,2.31,91.43,8.1,1
29.93,87.98,78.13,80.12,5.64,1
2.89,51.13,22.93,65.27,7.49,0
28.64,77.69,15.38,59.26,8.97,0
33.73,65.54,66.44,60.65,6.33,0
7.47,91.61,90.27,77.22,9.31,0
31.46,88.07,55.0,40.41,5.51,1
12.17,74.39,23.37,50.07,9.72,0
12.95,73.62,73.91,88.2,7.93,1
26.95,53.66,89.87,50.04,9.23,0
5.34,61.73,73.48,90.22,6.39,0
26.93,85.36,80.84,59.36,6.49,1
35.63,53.28,93.52,97.86,7.57,1
28.16,89.36,52.5,50.5,4.21,1
18.17,98.98,90.26,42.53,9.74,1
18.09,53.95,80.26,88.91,9.4,0
30.84,72.89,35.0,55.38,6.1,0
23.06,78.95,32.72,47.21,6.13,0
4.31,90.65,20.8,93.45,8.49,1
23.72,57.5,66.59,79.84,6.25,0
32.78,68.01,88.47,42.42,7.06,1
14.15,91.78,8.38,49.25,7.99,0
37.18,75.91,57.9,84.47,6.77,1
30.28,58.17,69.89,93.17,5.84,1
23.39,93.47,81.52,69.04,7.0,1
30.31,96.81,55.74,97.95,6.74,1
4.09,86.98,66.02,65.14,9.43,0
34.52,98.68,52.34,96.21,8.57,1
33.04,96.33,19.19,59.14,9.17,1
36.48,56.07,6.83,71.29,9.7,0
6.02,70.46,25.59,42.09,9.55,0
4.19,79.84,81.37,82.81,9.19,0
6.4,86.62,12.13,78.77,4.11,0
16.58,76.75,7.17,58.93,4.58,0
17.55,82.46,22.2,42.39,7.68,0
22.93,55.84,28.97,95.74,7.08,0
5.77,70.31,40.22,67.12,5.45,0
8.85,50.34,83.3,74.53,5.62,0
32.65,82.59,62.42,63.13,8.54,1
19.25,58.22,75.05,63.1,8.29,1
32.51,70.2,89.06,51.74,4.92,1
1.29,74.93,76.74,69.71,5.89,0
22.51,83.32,26.17,93.82,9.95,1
37.35,88.16,54.84,99.22,7.39,1
23.7,85.76,45.32,85.91,7.42,1
9.04,78.39,82.21,98.8,9.56,1
28.99,76.44,25.0,77.55,9.01,1
15.78,92.84,60.85,51.31,8.05,1
27.07,93.34,3.95,92.13,5.24,1
2.14,53.09,32.44,91.18,9.63,0
25.8,63.51,47.0,67.38,8.06,1
2.26,96.08,20.65,75.4,4.23,1
30.05,79.63,67.25,72.58,6.52,1
19.44,56.73,36.81,76.33,5.93,0
5.75,53.56,18.8,83.87,8.35,0
22.16,54.72,86.87,82.99,8.43,0
3.6,88.49,20.05,89.0,7.26,0
26.48,61.1,57.61,49.93,9.74,1
39.85,62.15,48.55,72.84,6.97,1
31.01,56.53,44.42,46.52,6.04,0
23.38,79.98,23.67,81.42,8.41,1
5.0,75.69,82.02,90.26,5.79,1
28.29,64.08,64.29,80.4,5.58,1
26.79,82.91,80.39,76.76,6.82,1
2.91,88.89,72.58,58.1,8.0,0
31.9,98.98,76.44,93.5,4.29,1
21.23,73.94,19.21,64.91,7.37,0
17.61,70.65,60.89,97.22,4.34,1
31.74,64.61,78.8,98.18,9.86,1
17.05,89.23,49.7,54.81,5.07,0
19.76,98.61,61.91,83.58,9.41,1
8.08,80.02,27.21,46.69,5.84,0
13.53,82.12,45.62,94.3,4.83,0
33.98,84.46,83.86,47.89,7.55,1
8.29,71.16,20.97,47.68,9.0,0
17.27,61.02,71.13,90.07,5.31,0
39.57,62.81,63.56,51.52,9.08,0
10.23,80.86,7.52,68.06,8.19,0
36.76,81.88,66.45,52.19,9.22,1
36.82,73.1,45.61,78.06,7.6,1
4.56,52.17,18.19,82.19,5.29,0
19.08,93.86,42.73,65.09,8.24,1
20.59,62.22,12.67,84.05,5.65,0
13.23,79.05,94.75,46.41,4.55,0
2.85,86.93,97.46,91.46,6.98,1
10.43,59.22,42.59,83.82,5.01,0
4.73,73.66,20.99,49.34,8.07,0
10.29,50.07,79.66,52.49,5.45,0
32.5,52.37,31.61,61.63,7.38,0
35.9,62.52,35.66,79.15,5.24,1
2.69,82.94,40.05,82.16,9.51,0
12.78,94.33,71.57,96.12,9.43,1
39.24,71.22,61.23,60.26,8.38,1
22.04,51.25,99.13,64.33,5.69,0
25.43,64.64,83.99,82.14,5.7,1
1.22,97.85,97.47,61.83,5.62,0
19.91,55.56,77.3,80.88,5.94,1
39.54,87.79,42.25,73.45,4.25,1
15.63,87.37,92.13,48.68,7.48,1
4.78,79.5,40.25,64.78,7.46,0
19.01,96.54,10.04,42.21,4.59,0
38.56,82.11,22.13,88.15,7.34,1
14.33,98.33,97.88,96.37,5.21,1
32.16,91.31,18.15,92.81,7.46,1
32.16,89.7,39.53,64.24,7.25,1
9.12,97.55,83.02,51.62,5.55,0
18.29,80.85,50.34,63.76,5.56,1
28.91,66.12,65.42,55.96,7.74,1
17.01,55.18,87.32,96.9,6.41,1
8.45,84.71,10.76,77.06,9.35,0
38.73,76.16,47.71,69.68,9.81,0
26.38,69.27,32.34,72.96,9.89,0
34.75,97.49,63.4,48.71,4.86,1
1.98,95.62,49.54,94.8,9.12,1
11.41,68.9,34.16,46.45,4.76,0
20.58,97.27,20.25,61.51,4.26,1
3.63,71.6,14.48,63.03,4.16,0
39.73,60.31,74.33,88.39,9.24,1
10.22,81.03,82.71,56.46,4.44,0
15.6,54.71,78.41,71.36,7.45,0
9.35,57.63,67.3,88.62,7.49,0
5.11,90.71,62.6,96.73,8.2,1
10.07,90.96,40.86,62.0,6.56,1
12.72,62.03,63.87,64.75,5.66,0
25.74,87.34,11.75,43.16,6.81,0
11.97,98.68,57.02,57.21,7.35,1
15.13,97.89,58.08,75.76,5.79,1
1.23,72.23,49.54,61.87,5.29,0
15.26,93.2,80.34,43.89,9.92,1
21.82,77.86,36.95,41.96,7.74,1
7.32,78.24,32.2,42.84,5.74,0
24.3,61.96,10.64,55.75,7.88,0
12.43,69.21,31.78,74.01,7.5,0
25.65,60.74,36.47,66.61,4.94,0
2.02,87.12,8.81,67.02,5.96,0
35.62,82.03,73.79,84.93,4.04,1
1.63,90.22,3.4,53.39,8.61,0
5.95,80.99,90.66,95.74,6.65,1
31.31,63.86,10.32,41.5,4.46,0
2.79,97.63,23.48,90.88,6.35,1
28.73,82.54,17.13,80.61,4.41,0
38.87,73.82,63.83,49.46,6.64,1
35.0,88.88,99.01,48.7,9.12,1
28.7,62.73,83.4,42.9,7.09,0
38.38,90.54,6.84,62.27,4.54,1
17.76,66.91,11.13,70.87,6.95,0
35.04,53.73,53.63,75.73,4.91,1
14.88,89.14,77.99,64.08,6.19,1
37.26,59.55,71.24,46.07,8.53,1
6.8,82.22,51.02,61.3,9.05,0
37.66,63.49,2.56,74.1,4.35,0
33.48,84.27,98.6,91.05,6.48,1
34.0,56.3,76.08,64.98,4.58,1
5.83,81.2,61.17,54.4,6.99,1
24.26,59.6,71.17,90.79,7.97,0
1.64,75.17,59.65,67.0,7.8,0
29.13,93.64,70.24,94.62,5.31,1
1.3,73.77,32.99,65.31,8.49,0
4.31,88.6,81.02,47.11,7.61,0
9.79,57.32,6.82,75.93,5.04,0
35.13,82.86,48.32,87.41,7.49,1
15.18,57.6,95.82,84.46,10.0,0
22.06,88.43,57.07,96.3,7.69,1
23.16,85.7,22.19,46.2,6.52,0
9.79,70.12,54.37,97.0,5.2,0
23.31,73.5,24.88,53.07,6.06,0
26.78,58.42,33.16,69.74,8.39,0
12.63,81.78,0.01,92.82,4.81,0
17.33,95.63,88.62,59.93,8.49,1
18.67,78.02,13.25,59.25,8.62,0
37.36,65.76,79.23,75.84,7.46,1
23.91,70.47,74.9,46.67,4.49,0
37.98,60.91,1.94,99.51,7.96,1
22.69,72.09,1.81,64.77,7.83,0
20.52,74.76,34.27,48.34,7.17,1
1.14,97.04,33.35,92.34,8.86,0
19.75,71.5,52.17,43.14,4.93,0
37.17,93.11,11.74,92.63,8.33,1
8.74,58.34,53.7,56.69,8.29,0
3.03,77.26,77.86,64.05,8.11,1
16.86,79.54,75.76,56.92,9.24,1
15.52,79.69,81.93,42.15,7.77,1
34.43,75.11,68.84,97.16,7.95,1
2.04,88.36,28.64,45.23,8.91,0
36.89,58.64,83.45,41.06,5.08,1
27.56,53.41,61.57,85.2,4.92,0
36.26,57.14,26.6,83.69,8.88,0
24.69,78.16,36.8,60.53,7.38,1
32.67,62.49,51.87,40.03,6.16,0
14.09,86.93,2.87,41.09,4.75,0
14.63,53.14,87.34,50.26,4.64,0
16.21,95.45,40.5,76.23,8.83,1
30.44,97.59,37.41,55.12,4.51,0
15.4,89.28,19.46,56.87,5.51,0
10.45,93.9,48.28,97.78,4.67,1
37.57,68.92,24.15,93.98,4.76,1
36.41,57.98,83.21,47.59,7.81,1
14.6,60.0,99.73,76.51,8.67,0
25.75,75.06,35.2,54.76,7.55,0
11.68,83.07,15.31,41.31,9.03,0
9.04,78.44,5.64,50.0,7.38,0
14.12,55.25,56.99,46.03,8.16,0
13.76,86.36,75.33,88.2,4.02,1
35.41,89.45,90.35,42.06,8.58,1
33.07,51.48,6.09,42.31,5.06,0
28.68,72.94,95.49,76.27,5.98,1
38.41,71.89,35.93,95.65,6.97,1
17.48,53.36,6.15,40.46,4.6,0
10.56,58.84,10.46,83.75,8.81,0
5.58,90.75,70.03,62.08,8.99,0
12.74,79.23,37.07,66.11,4.71,0
6.67,60.95,58.54,62.51,6.92,0
4.6,72.92,86.38,77.31,9.15,0
24.51,92.73,43.06,47.52,5.82,1
15.2,55.11,59.15,46.94,9.57,0
23.02,97.77,86.58,60.18,4.79,1
8.46,57.07,98.72,45.56,4.53,0
27.4,64.54,74.51,92.39,4.85,1
9.4,59.07,66.48,99.49,5.06,0
11.84,73.48,36.03,97.89,5.44,0
29.93,65.53,94.59,71.7,4.68,1
22.83,99.43,56.01,87.8,9.13,1
14.06,50.77,38.59,98.36,9.77,0
22.18,66.08,42.13,82.58,5.17,0
28.07,79.73,2.94,95.38,5.33,0
36.57,67.0,71.74,49.77,7.31,1
23.65,72.79,71.68,96.89,6.87,1
10.07,71.26,31.77,49.65,8.0,0
30.12,54.31,28.67,43.41,4.55,0
31.33,82.45,77.33,98.88,6.85,1
8.82,91.7,21.93,99.32,4.97,0
33.0,76.39,64.8,46.45,9.6,1
19.13,57.48,81.8,64.68,8.88,0
31.41,74.06,35.3,78.16,5.73,1
10.26,50.71,4.95,91.07,5.29,0
13.97,95.37,35.8,62.31,7.85,0
38.19,62.03,67.52,94.96,4.52,1
26.65,95.12,44.17,48.66,4.33,1
31.14,79.21,92.43,41.97,5.39,1
27.85,99.17,52.41,64.34,8.3,1
8.97,92.47,97.02,71.68,6.43,0
19.36,50.55,66.34,95.22,5.78,0
32.55,50.76,81.76,93.63,7.08,1
27.33,87.17,63.85,65.95,8.18,1
1.24,75.84,50.43,91.84,7.24,0
4.41,87.77,57.04,49.87,9.38,0
14.52,79.48,82.44,52.75,8.39,0
37.83,61.61,56.4,70.71,9.61,1
20.16,89.33,92.39,42.92,4.09,1
11.54,51.55,30.4,85.39,9.41,0
15.06,90.33,42.14,72.11,5.86,1
9.22,83.25,46.58,48.63,8.69,0
17.43,83.66,66.05,70.65,9.86,1
9.5,52.19,77.86,69.84,4.2,0
33.98,60.49,62.98,78.35,9.92,1
18.79,74.45,87.24,43.39,7.56,1
11.91,72.1,96.66,62.16,9.27,1
37.38,51.32,3.59,88.43,7.88,1
13.26,66.79,0.24,41.52,7.9,0
36.48,98.37,25.01,78.32,4.89,1
2.69,65.33,10.51,60.47,8.14,0
28.58,81.64,81.09,80.52,8.33,1
19.87,84.08,80.56,57.55,4.58,1
18.32,81.18,12.19,94.24,4.52,0
2.42,64.48,51.19,58.07,6.63,0
2.59,78.58,91.55,90.76,5.89,0
13.98,85.2,14.33,50.39,9.09,0
37.94,69.17,64.53,98.83,7.94,1
25.09,64.02,74.56,61.75,5.06,1
15.39,63.75,91.14,70.23,5.19,0
24.87,95.91,59.3,90.25,5.81,1
9.04,82.22,50.07,44.56,7.41,0
7.44,87.62,46.4,49.03,7.01,0
15.11,78.39,32.11,60.29,6.87,1
34.67,81.52,46.14,63.35,4.19,1
20.87,63.83,18.12,88.69,7.25,0
12.58,94.64,67.65,53.49,4.12,0
38.06,75.06,21.38,88.63,6.66,1
32.82,90.27,4.99,84.11,5.24,1
13.6,75.9,47.0,88.97,5.83,0
38.91,55.82,79.98,90.18,7.91,1
39.51,55.59,23.02,84.54,6.38,1
16.94,73.21,81.08,50.87,7.54,0
26.58,71.49,72.1,68.58,8.42,1
16.82,95.66,62.83,86.99,8.31,1
11.04,56.59,58.94,53.72,7.24,0
4.22,84.33,27.23,88.69,9.21,0
11.28,95.91,48.25,80.92,9.34,1
11.59,70.55,24.78,87.2,8.02,0
16.55,94.25,14.5,46.31,4.46,0
8.21,57.22,58.44,73.3,4.67,0
38.2,55.27,77.13,84.32,7.67,1
5.01,61.67,44.0,73.05,5.4,0
25.38,76.06,73.68,45.69,9.72,1
18.23,82.32,70.49,96.8,5.39,1
17.52,88.56,45.23,78.01,7.02,1
15.51,88.33,74.64,70.45,4.46,0
34.86,55.59,31.69,61.22,7.64,0
11.94,93.7,80.45,54.96,8.57,1
1.8,55.62,33.48,70.65,8.19,0
36.81,94.89,68.28,43.39,6.37,1
34.71,97.88,67.71,96.45,6.08,1
11.8,79.2,41.59,50.44,5.61,0
21.42,84.69,71.1,58.92,5.76,1
5.25,68.49,89.02,89.6,8.66,1
4.64,77.53,6.77,97.59,8.62,0
33.66,91.6,29.54,71.01,8.72,1
17.0,57.97,11.91,84.16,9.64,0
26.81,75.09,17.87,96.22,7.49,1
37.78,70.46,19.12,43.36,4.95,0
10.56,93.32,96.43,40.14,5.57,0
1.51,56.55,70.04,87.86,6.64,0
1.94,94.59,58.03,69.21,4.03,0
28.67,62.51,58.68,82.56,6.15,1
37.06,80.28,9.34,63.66,6.59,0
19.23,68.99,36.59,48.03,4.38,0
15.63,96.64,89.39,43.52,8.79,1
22.17,59.88,1.02,94.23,8.08,1
34.5,75.13,1.94,89.81,8.36,0
26.43,61.41,27.44,88.61,4.48,0
10.09,90.06,63.48,53.88,7.33,1
31.21,63.55,86.75,98.2,7.13,1
6.25,97.67,3.37,92.94,7.34,0
7.46,96.22,51.88,70.12,7.59,0
24.89,73.76,62.79,97.64,5.52,1
10.31,50.65,6.08,83.58,8.42,0
28.49,98.27,47.27,41.17,6.76,1
14.63,84.3,90.33,98.2,5.2,1
11.82,74.6,35.56,73.53,7.9,0
39.96,80.2,46.25,44.28,6.01,1
2.58,55.55,56.91,61.83,6.11,0
26.19,57.88,13.73,64.55,5.51,0
2.51,81.95,46.84,90.55,7.16,0
30.65,52.45,52.56,41.68,6.92,0
9.97,85.12,15.5,78.89,6.56,0
4.5,95.99,75.35,93.86,6.42,1
26.29,85.45,12.01,79.41,5.08,1
29.57,78.03,23.79,63.16,6.95,0
27.45,89.71,64.55,67.9,6.06,1
3.02,87.42,28.9,95.71,7.52,0
12.48,79.53,9.45,44.42,4.04,0
18.59,59.85,48.21,66.98,4.84,0
12.2,50.39,34.94,75.63,7.02,0
32.61,72.87,44.36,47.09,6.95,1
6.11,62.05,17.59,76.15,5.81,0
24.87,61.36,97.15,45.6,6.58,1
39.54,75.33,14.19,98.61,7.19,1
36.2,68.77,29.28,56.91,6.46,0
9.66,75.2,49.49,69.67,7.0,1
1.0,63.46,91.59,99.36,5.23,0
39.24,80.51,8.85,56.43,8.72,1
35.43,81.1,61.78,68.95,5.13,1
36.86,60.45,16.75,80.6,6.94,0
17.2,78.37,65.12,94.92,8.04,1
30.04,72.26,57.1,65.96,8.44,1
9.3,98.47,80.72,58.14,6.27,0
16.3,86.09,4.31,65.16,8.04,0
34.21,59.09,11.6,64.41,7.04,0
5.98,94.1,70.52,73.68,7.01,1
35.86,73.85,21.58,49.62,5.23,0
20.36,92.34,0.14,43.57,4.54,0
17.62,91.55,88.02,40.08,4.64,1
12.92,50.87,96.95,56.51,5.12,0
36.76,61.68,28.14,59.11,6.85,1
21.19,95.55,34.23,98.09,5.27,1
32.36,88.49,30.71,53.05,5.25,1
34.45,56.77,64.57,72.69,6.1,0
36.97,60.61,43.04,92.12,8.47,1
12.83,80.93,7.74,84.33,9.16,0
14.25,63.93,63.1,43.55,5.55,0
24.21,60.21,77.36,62.36,4.08,1
18.21,99.17,94.0,79.91,6.76,1
37.38,72.93,40.47,40.37,5.66,1
16.5,75.97,8.49,97.2,6.74,0
19.63,82.61,17.79,53.88,6.81,1
25.07,53.79,46.68,69.22,9.03,0
16.78,69.83,69.0,44.27,4.27,1
39.71,95.27,65.55,49.05,9.99,1
4.86,97.16,78.89,60.65,4.54,0
9.6,74.76,53.95,46.7,8.86,0
13.58,94.61,83.51,54.48,8.35,1
6.76,74.95,21.79,69.47,5.25,0
12.08,99.28,31.38,74.24,5.85,1
31.39,89.36,12.34,90.0,9.72,1
21.39,91.52,42.76,55.1,7.33,1
2.32,59.32,56.47,87.06,7.08,0
39.32,50.22,46.04,98.91,7.55,1
25.02,75.25,32.42,95.82,9.87,1
3.3,99.14,16.32,47.89,5.98,0
26.79,98.36,72.03,65.93,7.48,1
15.76,80.71,51.59,79.35,7.62,1
6.29,59.23,74.86,44.28,5.15,0
22.98,50.45,61.88,63.98,9.82,0
29.36,74.82,59.14,94.44,6.35,1
27.17,65.1,98.77,91.33,6.37,1
10.65,66.84,83.4,42.87,9.46,0
21.47,91.66,55.78,86.31,8.51,0
21.97,54.47,29.27,86.37,6.19,0
28.96,54.54,18.67,44.23,5.51,0
15.03,72.13,95.64,79.27,4.03,1
32.11,70.67,98.87,85.51,5.7,1
25.49,53.19,93.46,52.16,4.87,1
2.49,77.28,14.69,84.08,5.45,0
22.31,71.6,70.52,91.89,9.75,1
34.61,99.65,63.65,72.27,5.25,1
23.14,53.3,41.2,50.6,4.07,0
7.86,55.87,23.62,96.21,5.25,0
20.9,57.92,83.12,67.28,7.73,0
30.52,66.24,77.25,85.36,9.33,1
5.29,83.22,66.06,88.56,6.38,1
32.87,98.33,63.18,80.24,9.05,1
7.53,95.38,82.98,49.11,7.75,0
21.83,72.11,37.75,95.41,4.72,0
16.04,53.55,74.19,90.67,7.41,0
10.7,82.25,30.18,75.22,7.52,1
26.25,70.88,93.9,73.29,5.74,1
2.46,51.17,32.71,59.86,7.41,0
30.64,90.87,76.3,95.23,9.55,1
21.55,76.46,73.36,72.27,5.22,0
35.16,71.89,80.83,72.65,9.52,1
21.31,86.18,85.42,77.42,9.97,1
2.37,92.91,60.84,63.51,5.54,0
6.6,96.61,19.89,59.57,5.15,0
32.03,66.58,24.31,86.48,4.01,0
20.19,59.19,16.24,85.44,7.34,0
18.23,66.52,74.7,75.32,5.73,0
13.42,98.82,56.35,80.11,9.83,1
12.1,54.92,47.23,76.15,7.32,0
38.67,97.51,88.99,67.47,7.11,1
17.89,80.92,7.81,89.2,5.77,0
35.48,50.48,38.9,48.77,4.89,0
26.28,92.96,14.32,87.43,5.0,1
34.48,84.06,0.24,54.41,9.28,0
34.25,57.23,37.02,45.8,8.18,0
38.3,67.07,50.31,96.41,4.03,1
28.22,93.64,5.9,76.64,8.57,1
32.41,86.43,41.56,77.05,8.8,1
29.59,65.93,22.11,94.88,8.33,0
24.6,89.71,46.9,53.13,4.91,0
28.98,62.74,76.38,70.61,6.55,1
28.91,77.47,42.69,99.96,7.57,1
2.6,96.68,14.28,62.74,9.49,0
21.13,71.81,56.1,94.4,9.57,0
31.91,77.81,13.42,81.45,5.99,1
10.48,88.81,85.06,78.67,4.22,1
19.14,60.19,63.03,48.45,9.76,0
17.96,72.45,4.56,86.22,9.68,0
16.71,96.0,52.42,44.73,7.33,1
5.75,82.59,47.66,50.36,8.33,0
21.5,85.07,84.04,88.45,5.56,1
18.4,98.11,84.35,69.52,6.62,1
26.87,79.45,73.17,70.71,5.29,1
22.43,93.53,82.21,72.59,5.48,1
2.07,99.62,61.05,51.18,5.96,0
2.24,83.81,59.34,54.17,5.69,0
28.35,84.24,34.79,93.9,6.55,1
28.6,59.05,43.61,71.54,9.82,0
38.44,73.15,55.74,72.41,6.47,1
35.19,86.89,45.58,50.3,4.69,1
19.25,67.13,67.27,87.75,4.68,0
25.41,55.84,37.64,84.37,7.68,0
18.83,51.05,69.08,52.0,7.9,0
9.69,83.44,34.31,71.29,4.73,0
15.69,51.66,55.83,93.47,4.84,0
5.05,74.41,82.08,45.71,8.26,1
26.99,94.14,78.39,76.88,9.64,1
8.49,91.2,34.28,77.21,6.74,1
19.54,85.97,73.73,44.16,5.28,0
38.73,92.99,41.6,82.15,7.62,1
2.24,87.42,6.72,44.64,4.46,0
6.92,50.91,3.83,55.42,6.05,0
12.64,73.56,87.59,95.23,5.31,0
37.73,50.73,11.66,82.96,5.52,1
36.44,77.75,76.14,61.38,7.38,1
7.32,61.81,38.97,62.83,6.73,0
39.26,72.06,21.74,40.57,8.96,0
30.28,60.2,23.64,42.17,6.92,1
22.06,90.96,51.24,92.98,6.48,1
37.34,59.22,94.15,46.67,7.03,1
35.34,66.32,56.28,86.21,7.98,1
16.26,50.76,51.44,45.49,7.19,0
26.6,65.48,36.1,74.16,4.19,0
26.25,51.31,13.33,51.86,6.95,0
13.75,72.5,12.58,97.09,4.02,0
8.0,51.35,54.88,98.49,8.49,0
19.21,69.41,40.07,61.5,5.67,0
11.27,80.33,32.15,89.29,4.53,0
14.85,95.5,23.41,57.15,6.42,1
